node,value
0,0.45520123
1,0.127608267
2,0.15
3,0.235766625
4,0.1275
5,0.405108467
7,0.513266625
8,0.3
9,0.1275
10,0.45
11,0.15
12,0.494125355
14,0.45520123
15,0.127608267
16,0.32787123
18,0.3
19,0.277700371
20,0.5775
21,0.405000217
22,0.4275
23,0.363266625
24,0.1275
25,0.405
26,0.277608267
27,0.3
28,0.644033342
30,0.1275
32,0.15
33,0.4275
34,0.555000108
35,2.077136939
37,0.532608267
38,0.15
39,0.15
40,0.2775
41,0.15
42,0.963266625
44,0.72989181
45,0.62153325
46,0.640766625
47,0.4275
48,0.535966826
49,0.5325
